            12:21:45 01/09/2018 r/w I/O per second       KBytes per sec      Svt ms     IOSz KB     
                  ECBRBE11_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE12_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE14_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE13_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE15_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE12_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE13_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE14_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE15_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             ECBRBE31_PRUEBA_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE31_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           ECBRBE16_BACKUP_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
         bgr186a01_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
         bgr186bdd_DiscoZ_spool   t    1    1    1      6      6      6  0.10  0.10   4.1   4.1    0
         bgr186cl1_DiscoY_spool   t    4    4    4     46     46     46  0.10  0.10  11.8  11.8    0
         bgr186cl2_DiscoX_spool   t  675  675  675  42825  42825  42825  0.32  0.32  63.5  63.5    0
         bgr186e02_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
         bgr186q03_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
         bgr186q04_DiscoZ_spool   t   40   40   40   3359   3359   3359  0.42  0.42  84.0  84.0    0
         bgr186q05_DiscoZ_spool   t    1    1    1      3      3      3  0.05  0.05   3.1   3.1    0
         ecbrprcl3_DiscoY_spool   t    1    1    1     14     14     14  0.09  0.09   9.6   9.6    0
         ecbrprcl4_DiscoZ_spool   t    2    2    2     25     25     25  0.05  0.05  13.1  13.1    0
         ecbrprq21_DiscoZ_spool   t    1    1    1     26     26     26  0.06  0.06  18.1  18.1    0
         ecbrprq23_DiscoZ_spool   t    3    3    3    572    572    572  1.20  1.20 198.0 198.0    0
         ecbrprq24_DiscoZ_spool   t   33   33   33   4461   4461   4461  0.05  0.05 136.3 136.3    0
         ecbrprq30_DiscoZ_spool   t    2    2    2     22     22     22  0.06  0.06   9.0   9.0    0
         ecbrprq33_DiscoZ_spool   t    6    6    6     46     46     46  0.06  0.06   7.3   7.3    0
         ecbrprq34_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
         ecbrprq37_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
         ecbrprq38_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
       VM_srvpro01_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          srvtsw01_DiscoZ_spool   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             ECBRBE24_DATA_SNAP   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  vvcp.517.1014   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186bdd_discoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                bgr186bdd_so_r1   t    1    1    1      2      2      2  0.14  0.14   1.7   1.7    0
           bgr186bdd_Disco_H_r1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                   DCA_DiscoSRM   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             ecbrprw35_discoC_D   t    1    1    1      0      0      0 69.60 69.60   0.5   0.5    0
            ecbrprcl1_disco_C_D   t   13   13   13     62     62     62  0.79  0.79   4.6   4.6    0
            ecbrprpa4_disco_C-D   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            ecbrprct3_disco_C_D   t    1    1    1      0      0      0  0.37  0.37   0.5   0.5    0
            ecbrprct4_disco_C_D   t    2    2    2      1      1      1  3.37  3.37   0.5   0.5    0
               ecbrprb01_discoG   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
   DRECBRHCF2_vgfuentes_replica   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ecbrprw36_37_Dico_C_D   t   53   53   53   1171   1171   1171  1.11  1.11  22.1  22.1    0
              ECBRHCTS_vg00_DRD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             ecbrprw38_DiscoC_D   t    4    4    4     13     13     13  0.16  0.16   3.1   3.1    0
             ecbrprw39_DiscoC_D   t    1    1    1      0      0      0  2.37  2.37   0.5   0.5    0
                POC_ECBRBE22_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
      ECBRHCP4_TEMPLATE_SO_1131   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq24_DiscoH   t    4    4    4      8      8      8  2.27  2.27   2.0   2.0    0
           ECBRPRDP1_DiscoF_NEW   t    3    3    3     14     14     14  4.83  4.83   4.1   4.1    0
           ECBRPRDP1_DiscoE_NEW   t    1    1    1     16     16     16  0.10  0.10  10.9  10.9    0
               ecbrprb01_discoX   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
        ecbrprq41_DiscoC_DiscoD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              ecbrprw43_Disco_C   t    3    3    3     11     11     11 13.89 13.89   3.2   3.2    0
       POC_ECBRPRW01_DiscoC_PLD   t    2    2    2     64     64     64  0.21  0.21  33.0  33.0    0
               ECBRHCF4_vghome1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRHCP2_vg00   t    2    2    2     17     17     17  0.19  0.19   7.0   7.0    0
                ECBRHCP6_vgdata   t    0    0    0      2      2      2  4.39  4.39   4.1   4.1    0
             ECBRHCP2_ora_dat.1   t   16   16   16    138    138    138  5.40  5.40   8.7   8.7    0
             ECBRHCP2_ora_dat.2   t   10   10   10     83     83     83  0.47  0.47   8.6   8.6    0
             ECBRHCP2_ora_dat.3   t   28   28   28    383    383    383  2.45  2.45  13.7  13.7    0
             ECBRHCP2_ora_dat.4   t   16   16   16    166    166    166  1.31  1.31  10.1  10.1    0
             ECBRHCP2_ora_dat.8   t   15   15   15    126    126    126  4.72  4.72   8.2   8.2    0
             ECBRHCP2_ora_dat.6   t   17   17   17    209    209    209  6.83  6.83  12.4  12.4    0
             ECBRHCP2_ora_dat.7   t   23   23   23    241    241    241  0.93  0.93  10.6  10.6    0
             ECBRHCP2_ora_dat.5   t   15   15   15    138    138    138  2.49  2.49   9.2   9.2    0
                ECBRHCP2_vgdata   t    6    6    6     37     37     37  0.11  0.11   6.5   6.5    0
             ECBRHCP2_ora_fra.1   t   14   14   14    223    223    223  0.21  0.21  15.4  15.4    0
             ECBRHCP2_ora_fra.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRHCP2_swap   t   19   19   19    349    349    349  6.93  6.93  18.1  18.1    0
                ECBRHCTS_vgdata   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                   ECBRHCP2_DRD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             ecbrprq24_temporal   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            ECBRHCF3_vg00_nuevo   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 ECBRHCP2_swap1   t   16   16   16    738    738    738  5.93  5.93  46.4  46.4    0
                ECBRHCP1_vgdata   t    0    0    0      4      4      4  0.18  0.18   8.2   8.2    0
              ECBRHCP1_vgcics.0   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              ECBRHCP1_vgcics.1   t    0    0    0      2      2      2  0.03  0.03   4.1   4.1    0
              ECBRHCP1_vgcics.2   t    1    1    1     12     12     12  0.05  0.05   8.2   8.2    0
              ECBRHCP1_vgcics.3   t    2    2    2      8      8      8  0.04  0.04   4.1   4.1    0
               ECBRHCP1_vghome1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRHCP1_vg00   t    9    9    9     75     75     75  0.05  0.05   8.6   8.6    0
                  ECBRHCP1_swap   t   15   15   15    126    126    126  0.02  0.02   8.2   8.2    0
               ECBRHCP1_vgctmv9   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRHCP1_vgsp2.0   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRHCP1_vgsp2.1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRHCP1_vgsp2.2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRHCP1_vgsp2.3   t    0    0    0      4      4      4  0.04  0.04   8.2   8.2    0
                ECBRHCP1_vglogs   t    0    0    0      4      4      4  0.04  0.04   8.2   8.2    0
                ECBRHCP1_vgs21b   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRHCP2_vghome1   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                 ECBRHCP1_vgsfs   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                ECBRHCQ1_vgdata   t    1    1    1      8      8      8  0.11  0.11   8.2   8.2    0
                  ECBRHCQ1_vg00   t    1    1    1      4      4      4  0.08  0.08   4.6   4.6    0
               bgr186cw3_DiscoC   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                ECBRHCP1_restor   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                   ECBRHCP1_DRD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            srm_placeholder_bdd   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              ecbrprsp01_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           SRM_RECOVER_RO_23764   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          SRM_TARGETBK_RO_23764   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             SRM_RECOVER_RO_148   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
